                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5435,                 4.3811,                 5.0524,                 1.6012,                0.01048,                 0.0616,                0.00574,                0.00343,                 0.0096,                0.05646,                0.00525,                0.00275,                 2.0902,                 4.1463,                 5.1174,                 1.3973,                 0.0919,                 0.0009,                 0.0009
                      1,                 1.5165,                 2.3967,                 1.6761,                 1.0717,                0.58903,                0.58329,                0.54571,                0.25391,                0.58702,                0.55016,                0.51145,                0.20604,                 1.5144,                 2.1663,                 1.9679,                 1.0614,               0.082712,              0.0017119,              0.0017119
                      2,                 1.2457,                 2.0031,                 1.2948,                0.97976,                 0.5133,                 0.5553,                0.46972,                0.23564,                0.50344,                0.54036,                0.45431,                 0.2001,                  1.526,                 2.1767,                 1.3921,                 1.0699,               0.073326,              0.0023258,              0.0023258
                      3,                  1.144,                 1.8174,                   1.07,                0.94855,                0.74679,                0.72422,                0.73848,                0.42701,                0.71429,                0.66169,                0.66694,                0.28991,                 1.2429,                 1.8631,                  0.946,                0.96149,               0.063742,              0.0027417,              0.0027417
                      4,                 1.1398,                 1.7653,                 0.9963,                0.93509,                0.76828,                0.75344,                0.78687,                0.44985,                 0.7102,                0.69155,                0.69686,                 0.2998,                 1.2354,                 1.7892,                 1.0028,                  0.949,                0.05396,              0.0029596,              0.0029596
                      5,                 1.1176,                 1.5837,                0.92062,                0.92591,                0.79712,                0.76248,                0.80134,                0.47777,                0.77068,                  0.712,                0.74947,                0.36227,                 1.1679,                 1.7266,                 1.0237,                0.92716,                0.04398,              0.0029795,              0.0029795
                      6,                 1.1554,                 1.6383,                0.90804,                0.93216,                 0.7903,                0.74391,                0.78635,                0.46954,                0.77936,                0.70546,                0.74576,                0.34629,                 1.1841,                 1.7228,                0.88209,                0.93574,               0.033801,              0.0028014,              0.0028014
                      7,                 1.1195,                 1.7312,                0.82909,                0.92158,                0.79488,                0.75408,                0.80757,                0.48293,                0.74675,                0.69809,                 0.7321,                  0.337,                 1.1482,                 1.7017,                0.85593,                0.92799,               0.023425,              0.0024253,              0.0024253
                      8,                 1.0736,                 1.6364,                0.77974,                0.92151,                0.77686,                0.72189,                0.76548,                0.43497,                0.70672,                0.64582,                0.65876,                 0.2742,                  1.167,                 1.7799,                0.88352,                0.92472,               0.012851,              0.0018512,              0.0018512
                      9,                  1.109,                 1.6742,                0.76789,                0.91221,                0.80123,                0.74863,                0.80579,                0.48035,                0.74779,                 0.6987,                0.72172,                0.32156,                   1.12,                 1.7581,                0.83017,                0.91919,              0.0020791,              0.0010791,              0.0010791
