image path,timestamp,camera,sample,area,barcode
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_24_12:06:23.jpg,2023_10_24_12:06:23,2,0,10500,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_24_12:06:23.jpg,2023_10_24_12:06:23,2,1,12123,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_24_12:06:23.jpg,2023_10_24_12:06:23,2,2,10833,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_26_12:01:27.jpg,2023_10_26_12:01:27,2,0,18027,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_26_12:01:27.jpg,2023_10_26_12:01:27,2,1,20118,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_26_12:01:27.jpg,2023_10_26_12:01:27,2,2,20160,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-6-2023_10_24_12:05:31.jpg,2023_10_24_12:05:31,6,0,12249,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-6-2023_10_24_12:05:31.jpg,2023_10_24_12:05:31,6,1,9087,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-6-2023_10_24_12:05:31.jpg,2023_10_24_12:05:31,6,2,8457,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_17_11:59:36.jpg,2023_10_17_11:59:36,3,0,11391,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_17_11:59:36.jpg,2023_10_17_11:59:36,3,1,11397,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_17_11:59:36.jpg,2023_10_17_11:59:36,3,2,12105,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_20_12:33:40.jpg,2023_10_20_12:33:40,3,0,5733,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_20_12:33:40.jpg,2023_10_20_12:33:40,3,1,8541,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_20_12:33:40.jpg,2023_10_20_12:33:40,3,2,7671,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_20_12:36:51.jpg,2023_10_20_12:36:51,3,0,5082,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_20_12:36:51.jpg,2023_10_20_12:36:51,3,1,8601,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_20_12:36:51.jpg,2023_10_20_12:36:51,3,2,4734,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-6-2023_10_23_12:00:52.jpg,2023_10_23_12:00:52,6,0,17859,N/A
