image path,timestamp,camera,sample,area,barcode
/home/liftlab/Desktop/test_img/capture-6-2023_11_27_08:55:27.jpg,2023_11_27_08:55:27,6,0,7848,N/A
/home/liftlab/Desktop/test_img/capture-6-2023_11_27_08:55:27.jpg,2023_11_27_08:55:27,6,1,7242,N/A
/home/liftlab/Desktop/test_img/capture-6-2023_11_27_08:55:27.jpg,2023_11_27_08:55:27,6,2,9828,N/A
/home/liftlab/Desktop/test_img/capture-6-2023_11_21_08:36:37.jpg,2023_11_21_08:36:37,6,0,1359,N/A
/home/liftlab/Desktop/test_img/capture-6-2023_11_21_08:36:37.jpg,2023_11_21_08:36:37,6,1,1665,N/A
/home/liftlab/Desktop/test_img/capture-6-2023_11_21_08:36:37.jpg,2023_11_21_08:36:37,6,2,1824,N/A
/home/liftlab/Desktop/test_img/capture-2-2023_11_23_10:19:21.jpg,2023_11_23_10:19:21,2,0,2739,N/A
/home/liftlab/Desktop/test_img/capture-2-2023_11_23_10:19:21.jpg,2023_11_23_10:19:21,2,1,2730,N/A
/home/liftlab/Desktop/test_img/capture-2-2023_11_23_10:19:21.jpg,2023_11_23_10:19:21,2,2,3660,N/A
/home/liftlab/Desktop/test_img/capture-3-2023_11_22_10:21:59.jpg,2023_11_22_10:21:59,3,0,7452,N/A
/home/liftlab/Desktop/test_img/capture-3-2023_11_22_10:21:59.jpg,2023_11_22_10:21:59,3,1,7170,N/A
/home/liftlab/Desktop/test_img/capture-3-2023_11_22_10:21:59.jpg,2023_11_22_10:21:59,3,2,3321,N/A
/home/liftlab/Desktop/test_img/capture-7-2023_11_23_10:18:28.jpg,2023_11_23_10:18:28,7,0,3954,N/A
/home/liftlab/Desktop/test_img/capture-7-2023_11_23_10:18:28.jpg,2023_11_23_10:18:28,7,1,4320,N/A
/home/liftlab/Desktop/test_img/capture-7-2023_11_23_10:18:28.jpg,2023_11_23_10:18:28,7,2,4455,N/A
/home/liftlab/Desktop/test_img/capture-7-2023_11_22_10:46:04.jpg,2023_11_22_10:46:04,7,0,1980,N/A
/home/liftlab/Desktop/test_img/capture-7-2023_11_22_10:46:04.jpg,2023_11_22_10:46:04,7,1,2028,N/A
/home/liftlab/Desktop/test_img/capture-7-2023_11_22_10:46:04.jpg,2023_11_22_10:46:04,7,2,1389,N/A
/home/liftlab/Desktop/test_img/capture-2-2023_11_23_10:19:11.jpg,2023_11_23_10:19:11,2,0,4029,N/A
/home/liftlab/Desktop/test_img/capture-2-2023_11_23_10:19:11.jpg,2023_11_23_10:19:11,2,1,6459,N/A
/home/liftlab/Desktop/test_img/capture-2-2023_11_23_10:19:11.jpg,2023_11_23_10:19:11,2,2,2808,N/A
/home/liftlab/Desktop/test_img/capture-6-2023_11_21_08:37:16.jpg,2023_11_21_08:37:16,6,0,1539,N/A
/home/liftlab/Desktop/test_img/capture-6-2023_11_21_08:37:16.jpg,2023_11_21_08:37:16,6,1,2391,N/A
/home/liftlab/Desktop/test_img/capture-6-2023_11_21_08:37:16.jpg,2023_11_21_08:37:16,6,2,1812,N/A
/home/liftlab/Desktop/test_img/capture-7-2023_11_28_12:22:07.jpg,2023_11_28_12:22:07,7,0,5625,N/A
/home/liftlab/Desktop/test_img/capture-7-2023_11_28_12:22:07.jpg,2023_11_28_12:22:07,7,1,2790,N/A
/home/liftlab/Desktop/test_img/capture-7-2023_11_28_12:22:07.jpg,2023_11_28_12:22:07,7,2,4839,N/A
/home/liftlab/Desktop/test_img/capture-2-2023_11_24_11:43:14.jpg,2023_11_24_11:43:14,2,0,789,N/A
/home/liftlab/Desktop/test_img/capture-2-2023_11_24_11:43:14.jpg,2023_11_24_11:43:14,2,1,801,N/A
